,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
0,Almaty Region,Prec_jan,18.75202891631999,CMCC-ESM2,20.119007024483395,INM-CM5-0,23.30457614403601,BCC-CSM2-MR,"(19.56769574103241, 20.996581691962206)"
1,Altai Republic,Prec_jan,13.37078322088589,INM-CM5-0,14.286447638603695,EC-Earth3-Veg,16.80082135523614,BCC-CSM2-MR,"(13.918892100349897, 14.980807789083052)"
2,Altai krai,Prec_jan,25.34508522063974,INM-CM5-0,26.900537006770957,MPI-ESM1-2-HR,33.66020702000156,BCC-CSM2-MR,"(26.18331921498158, 28.73560293999006)"
3,Altay Prefecture,Prec_jan,6.72008062484253,MIROC6,6.947341899722852,EC-Earth3-Veg,8.13769211388259,BCC-CSM2-MR,"(6.8162415547056785, 7.259441140024636)"
4,BayanUlgii,Prec_jan,2.290092879256966,['GFDL-ESM4' 'INM-CM5-0'],2.33405572755418,FIO-ESM-2-0,2.578328173374613,BCC-CSM2-MR,"(2.301131301425518, 2.3932721279624314)"
5,Bortala Mongol AP,Prec_jan,9.713038053649408,MIROC6,10.027448533998752,FIO-ESM-2-0,12.429195258889582,BCC-CSM2-MR,"(9.904547137907953, 10.82830952507972)"
6,Changji Hui AP,Prec_jan,4.408843252305113,"['GISS-E2-1-G' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2' 'ACCESS-CM2'
 'MPI-ESM1-2-HR' 'INM-CM5-0' 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']",4.408843252305113,"['GISS-E2-1-G' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2' 'ACCESS-CM2'
 'MPI-ESM1-2-HR' 'INM-CM5-0' 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']",5.022841575859179,BCC-CSM2-MR,"(4.372351003492284, 4.5792577398180505)"
7,East Kazakhstan Region,Prec_jan,19.466441940028176,MIROC6,20.474039042060777,FIO-ESM-2-0,24.320285771785063,BCC-CSM2-MR,"(19.988424728492106, 21.5478153445763)"
8,Govi-Altai,Prec_jan,0.9192963752665244,"['GISS-E2-1-G' 'GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2'
 'BCC-CSM2-MR' 'ACCESS-CM2' 'MPI-ESM1-2-HR' 'INM-CM5-0' 'HadGEM3-GC31-LL'
 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']",0.9192963752665244,"['GISS-E2-1-G' 'GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2'
 'BCC-CSM2-MR' 'ACCESS-CM2' 'MPI-ESM1-2-HR' 'INM-CM5-0' 'HadGEM3-GC31-LL'
 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']",0.9192963752665244,"['GISS-E2-1-G' 'GFDL-ESM4' 'FIO-ESM-2-0' 'EC-Earth3-Veg' 'CMCC-ESM2'
 'BCC-CSM2-MR' 'ACCESS-CM2' 'MPI-ESM1-2-HR' 'INM-CM5-0' 'HadGEM3-GC31-LL'
 'MRI-ESM2-0' 'MIROC6' 'UKESM1-0-LL']","(0.9192963752665244, 0.9192963752665246)"
9,Ili Kazakh Autonomous Prefecture,Prec_jan,6.735363656834046,MIROC6,6.930758838099528,GFDL-ESM4,8.21526683179464,BCC-CSM2-MR,"(6.800852698429457, 7.267427141523431)"
