,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
0,Almaty Region,Temp_max_jan,-4.786932883789129,BCC-CSM2-MR,-3.6708522833833457,HadGEM3-GC31-LL,-2.7724339643149425,FIO-ESM-2-0,"(-3.974930536163681, -3.276942760504019)"
1,Altai Republic,Temp_max_jan,-12.693327863743033,MPI-ESM1-2-HR,-11.80054291031094,GISS-E2-1-G,-10.836037190158404,EC-Earth3-Veg,"(-12.128135107390774, -11.451058014041182)"
2,Altai krai,Temp_max_jan,-9.526710493034477,MPI-ESM1-2-HR,-8.255879591797028,INM-CM5-0,-7.546805685267336,FIO-ESM-2-0,"(-8.806086817109788, -8.046301519755696)"
3,Altay Prefecture,Temp_max_jan,-10.65769675925926,BCC-CSM2-MR,-9.881544863315696,GFDL-ESM4,-9.152909659234064,FIO-ESM-2-0,"(-10.100769943210432, -9.550021587789432)"
4,BayanUlgii,Temp_max_jan,-15.371981424148608,BCC-CSM2-MR,-14.395108117260062,MIROC6,-13.813839976780184,FIO-ESM-2-0,"(-14.71577211676985, -14.13342058536161)"
5,Bortala Mongol AP,Temp_max_jan,-8.697005492631005,BCC-CSM2-MR,-7.522145976294448,INM-CM5-0,-6.754460630458516,ACCESS-CM2,"(-7.882700366426416, -7.285772433971875)"
6,Changji Hui AP,Temp_max_jan,-8.498973504295893,BCC-CSM2-MR,-7.442624292749372,UKESM1-0-LL,-6.566953059513831,ACCESS-CM2,"(-7.848742777024534, -7.219221099293251)"
7,East Kazakhstan Region,Temp_max_jan,-9.213313166633124,BCC-CSM2-MR,-8.136984459901388,CMCC-ESM2,-7.101795978818676,FIO-ESM-2-0,"(-8.50825976780593, -7.76855987939131)"
8,Govi-Altai,Temp_max_jan,-9.851470882196162,BCC-CSM2-MR,-8.984391657782515,INM-CM5-0,-8.335554371002132,GISS-E2-1-G,"(-9.270021061817491, -8.713636628440014)"
9,Ili Kazakh Autonomous Prefecture,Temp_max_jan,-9.909310086410718,BCC-CSM2-MR,-9.011685325658636,MRI-ESM2-0,-8.153591885273586,ACCESS-CM2,"(-9.249406815779938, -8.676088162178942)"
10,Khovd,Temp_max_jan,-14.355659520348835,BCC-CSM2-MR,-13.351666969476744,INM-CM5-0,-12.429748819040698,GISS-E2-1-G,"(-13.708965288563192, -13.093539300174136)"
11,Pavlodar Region,Temp_max_jan,-10.335316617084572,MPI-ESM1-2-HR,-9.347173986665958,HadGEM3-GC31-LL,-8.250244036867828,FIO-ESM-2-0,"(-9.650522498732247, -8.905107180237316)"
