,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
0,Almaty Region,Temp_min_jan,-15.13599493623406,BCC-CSM2-MR,-14.348093415399305,CMCC-ESM2,-12.754381777262497,UKESM1-0-LL,"(-14.445063388569594, -13.460483146665613)"
1,Altai Republic,Temp_min_jan,-22.489265547081256,MPI-ESM1-2-HR,-21.47092943311821,GISS-E2-1-G,-20.305954825462013,ACCESS-CM2,"(-21.74583308222493, -21.004196181375942)"
2,Altai krai,Temp_min_jan,-18.927356944120167,MPI-ESM1-2-HR,-17.818452554673517,GFDL-ESM4,-16.98801463148883,UKESM1-0-LL,"(-18.27660223764532, -17.533793812331638)"
3,Altay Prefecture,Temp_min_jan,-21.669085805618543,BCC-CSM2-MR,-20.691558799445705,INM-CM5-0,-19.8461966962711,ACCESS-CM2,"(-21.11849670046851, -20.44690166329295)"
4,BayanUlgii,Temp_min_jan,-26.735419891640863,BCC-CSM2-MR,-25.973623742260063,MIROC6,-24.995542279411765,ACCESS-CM2,"(-26.250595444976216, -25.62987721220406)"
5,Bortala Mongol AP,Temp_min_jan,-19.378665003119156,BCC-CSM2-MR,-18.25545851528384,UKESM1-0-LL,-16.53973750389894,ACCESS-CM2,"(-18.624847167506413, -17.7683867478686)"
6,Changji Hui AP,Temp_min_jan,-19.590339807732608,BCC-CSM2-MR,-18.68461860854988,GISS-E2-1-G,-16.962720360959764,ACCESS-CM2,"(-18.936620414858634, -18.083396692143754)"
7,East Kazakhstan Region,Temp_min_jan,-18.91592404155766,MPI-ESM1-2-HR,-18.30588240843228,CMCC-ESM2,-16.907413463473535,ACCESS-CM2,"(-18.414073777849943, -17.601859624630052)"
8,Govi-Altai,Temp_min_jan,-22.121535181236677,BCC-CSM2-MR,-21.40101279317697,MIROC6,-20.430936833688698,UKESM1-0-LL,"(-21.715230589708824, -20.973574867893277)"
9,Ili Kazakh Autonomous Prefecture,Temp_min_jan,-20.377031848119792,BCC-CSM2-MR,-19.541242118892143,CMCC-ESM2,-18.212631586354423,ACCESS-CM2,"(-19.821143195754644, -19.095919511016177)"
10,Khovd,Temp_min_jan,-25.43860222868217,BCC-CSM2-MR,-24.426394440406977,MIROC6,-23.31812015503876,GISS-E2-1-G,"(-24.95034875166189, -24.190055895774005)"
11,Pavlodar Region,Temp_min_jan,-18.58586943529537,MPI-ESM1-2-HR,-17.763237754993625,INM-CM5-0,-16.358435375053123,UKESM1-0-LL,"(-18.022124649648166, -17.24137208324601)"
12,Tyva Republic,Temp_min_jan,-30.50084828160965,MPI-ESM1-2-HR,-29.62327863322486,HadGEM3-GC31-LL,-28.413572009683307,UKESM1-0-LL,"(-29.820163938593243, -29.101391190934738)"
13,Uvs,Temp_min_jan,-31.992747995991984,GFDL-ESM4,-30.80673221442886,EC-Earth3-Veg,-29.98078031062124,UKESM1-0-LL,"(-31.27864812461023, -30.533103744512637)"
14,Zavkhan,Temp_min_jan,-30.97842482152185,MPI-ESM1-2-HR,-29.951625892390737,CMCC-ESM2,-28.8832682178304,ACCESS-CM2,"(-30.36223333709239, -29.71376470065256)"
15,Almaty Region,Temp_min_jan_std,3.2085600497484434,GFDL-ESM4,3.3148010634160765,MIROC6,3.438077592841334,UKESM1-0-LL,"(3.272731496122277, 3.357261910195448)"
16,Altai Republic,Temp_min_jan_std,4.1122305041691405,ACCESS-CM2,4.331763748901173,MIROC6,4.52167664695157,EC-Earth3-Veg,"(4.278575528487112, 4.401182855450081)"
17,Altai krai,Temp_min_jan_std,0.8679360932999998,INM-CM5-0,0.934799782746432,CMCC-ESM2,1.0643222865642212,HadGEM3-GC31-LL,"(0.9119143431053288, 0.9890540112784553)"
18,Altay Prefecture,Temp_min_jan_std,2.6496566668664108,GISS-E2-1-G,2.963778690132037,CMCC-ESM2,3.018668453288887,FIO-ESM-2-0,"(2.870619257493388, 2.993129694980154)"
19,BayanUlgii,Temp_min_jan_std,1.725154137541553,MRI-ESM2-0,1.8017947447292904,FIO-ESM-2-0,2.04077646076276,GISS-E2-1-G,"(1.7661881364968992, 1.8670195660552404)"
20,Bortala Mongol AP,Temp_min_jan_std,2.3084941404739068,UKESM1-0-LL,2.409816502065261,FIO-ESM-2-0,2.485129221309373,CMCC-ESM2,"(2.3847780553691065, 2.44002805472606)"
21,Changji Hui AP,Temp_min_jan_std,1.8001896422049346,ACCESS-CM2,1.857062948052539,MRI-ESM2-0,1.9970525282250664,UKESM1-0-LL,"(1.8275260016052945, 1.8954431108156722)"
22,East Kazakhstan Region,Temp_min_jan_std,1.6016470223588848,MPI-ESM1-2-HR,1.685755181217638,BCC-CSM2-MR,1.8268708706413896,ACCESS-CM2,"(1.6575492617358405, 1.7295068938402594)"
23,Govi-Altai,Temp_min_jan_std,2.423511617280281,CMCC-ESM2,2.547594875506213,MRI-ESM2-0,2.766592362774332,HadGEM3-GC31-LL,"(2.484715632402774, 2.6113939995685147)"
24,Ili Kazakh Autonomous Prefecture,Temp_min_jan_std,3.1060098230439106,GISS-E2-1-G,3.3202577195538976,UKESM1-0-LL,3.532112986105738,ACCESS-CM2,"(3.2684719848185333, 3.395445648498195)"
